date,category,amount,payment_method,notes
2024-02-23,Shopping,953,Card,Expense
2024-03-03,Food,1786,UPI,Expense
2024-01-18,Entertainment,1061,Cash,Expense
2024-03-30,Bills,1762,Cash,Expense
2024-02-13,Transport,254,Cash,Expense
2024-02-03,Shopping,589,Card,Expense
2024-03-14,Food,1509,UPI,Expense
2024-03-02,Food,884,Cash,Expense
2024-01-14,Bills,1227,Card,Expense
2024-02-17,Shopping,1516,UPI,Expense
2024-01-15,Entertainment,1934,Card,Expense
2024-03-12,Shopping,345,Cash,Expense
2024-03-18,Bills,1299,Cash,Expense
2024-03-27,Bills,1162,Cash,Expense
2024-03-02,Shopping,1600,Card,Expense
2024-02-09,Bills,1805,Card,Expense
2024-03-25,Shopping,858,Cash,Expense
2024-03-20,Transport,637,Card,Expense
2024-03-22,Shopping,1990,Cash,Expense
2024-02-22,Shopping,1941,Cash,Expense
2024-01-24,Bills,1020,UPI,Expense
2024-01-26,Bills,507,Card,Expense
2024-03-29,Food,624,Cash,Expense
2024-02-29,Food,927,Cash,Expense
2024-02-10,Transport,1629,Card,Expense
2024-01-29,Food,1002,UPI,Expense
2024-01-15,Shopping,1948,UPI,Expense
2024-02-14,Bills,135,Cash,Expense
2024-03-05,Food,784,Card,Expense
2024-03-29,Food,119,UPI,Expense
2024-03-11,Transport,420,Card,Expense
2024-01-09,Transport,1899,Card,Expense
2024-03-28,Shopping,611,Cash,Expense
2024-01-01,Bills,499,UPI,Expense
2024-01-08,Transport,753,Cash,Expense
2024-03-28,Food,1071,UPI,Expense
2024-03-03,Bills,570,UPI,Expense
2024-01-11,Bills,1266,UPI,Expense
2024-03-21,Food,1215,UPI,Expense
2024-01-08,Transport,1477,UPI,Expense
2024-02-04,Food,933,Card,Expense
2024-02-04,Bills,1923,Cash,Expense
2024-02-02,Entertainment,826,Card,Expense
2024-01-05,Entertainment,953,UPI,Expense
2024-02-10,Shopping,150,Cash,Expense
2024-01-28,Food,1788,UPI,Expense
2024-01-07,Food,1821,Cash,Expense
2024-03-13,Shopping,674,Card,Expense
2024-03-12,Shopping,1313,Cash,Expense
2024-01-12,Shopping,1248,Cash,Expense
2024-02-03,Bills,249,Cash,Expense
2024-02-02,Food,413,Cash,Expense
2024-02-17,Bills,669,Cash,Expense
2024-01-23,Shopping,1465,UPI,Expense
2024-03-02,Food,404,Cash,Expense
2024-03-28,Bills,1815,Cash,Expense
2024-02-06,Bills,781,Card,Expense
2024-02-13,Shopping,937,Cash,Expense
2024-03-26,Food,1906,Card,Expense
2024-03-31,Shopping,1177,UPI,Expense
2024-02-04,Food,1102,Cash,Expense
2024-03-05,Entertainment,543,Card,Expense
2024-02-16,Transport,712,Card,Expense
2024-03-18,Transport,1092,UPI,Expense
2024-01-03,Transport,363,Cash,Expense
2024-01-01,Shopping,1176,Cash,Expense
2024-01-05,Entertainment,1695,Card,Expense
2024-03-30,Food,1103,Cash,Expense
2024-01-14,Bills,1743,Card,Expense
2024-01-27,Food,104,Cash,Expense
2024-01-09,Bills,1226,Card,Expense
2024-03-19,Food,1319,Cash,Expense
2024-01-15,Entertainment,873,UPI,Expense
2024-03-30,Bills,976,Cash,Expense
2024-02-11,Shopping,1091,Cash,Expense
2024-03-17,Food,983,UPI,Expense
2024-02-20,Food,1473,Cash,Expense
2024-03-03,Bills,146,UPI,Expense
